Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,B3N0H17,Vipshop Holdings Ltd.,VIPS,0.10%,Internet & Direct Marketing Retail,CN,ADR,"$84,182,221.80","5,382,495"
,B12LSY7,Saudi British Bank,1060,0.10%,Diversified Banks,SA,---,"$84,087,947.85","12,450,928"
,6051422,Realtek Semiconductor Corp.,2379,0.09%,Semiconductors,TW,---,"$82,434,237.39","6,430,959"
,BGQYNN1,Xinyi Solar Holdings Ltd.,968,0.09%,Semiconductor Equipment,CN,---,"$81,297,135.20","50,994,000"
,B5B1TX2,MMC Norilsk Nickel PJSC,GMKN,0.09%,Diversified Metals & Mining,RU,---,"$81,274,050.23","336,462"
,BN320P8,China Vanke Co. Ltd.,2202,0.09%,Real Estate Development,CN,---,"$80,918,564.99","26,324,700"
,B16YNS1,Shimao Group Holdings Ltd.,813,0.09%,Real Estate Development,CN,---,"$79,827,788.14","19,134,423"
,6651048,Bank Mandiri Persero Tbk PT,BMRI,0.09%,Diversified Banks,ID,---,"$79,790,291.30","238,588,875"
,BK0SBL1,China Feihe Ltd.,6186,0.09%,Packaged Foods & Meats,CN,---,"$79,786,461.91","34,127,000"
,6411877,Hua Nan Financial Holdings Co. Ltd.,2880,0.09%,Diversified Banks,TW,---,"$79,632,496.09","129,891,135"
,6916628,United Microelectronics Corp.,2303,0.09%,Semiconductors,TW,---,"$79,527,959.36","80,626,270"
,B58J1S8,Chailease Holding Co. Ltd.,5871,0.09%,Specialized Finance,TW,---,"$78,684,244.41","17,177,092"
,B2QPJK5,Hartalega Holdings Bhd.,HARTA,0.09%,Health Care Supplies,MY,---,"$78,134,585.48","19,949,110"
,6327587,Kingdee International Software Group Co. Ltd.,268,0.09%,Application Software,CN,---,"$78,132,477.74","29,955,284"
,2406457,Cemex SAB de CV,CEMEXCPO,0.09%,Construction Materials,MX,---,"$77,909,694.34","205,572,817"
,B800MQ5,Astra International Tbk PT,ASII,0.09%,Automobile Manufacturers,ID,---,"$77,750,656.08","258,229,781"
,6128605,Nestle India Ltd.,NESTLEIND,0.09%,Packaged Foods & Meats,IN,---,"$77,731,369.35","360,187"
,BGN9715,Haidilao International Holding Ltd.,6862,0.09%,Restaurants,CN,---,"$77,456,773.37","10,690,000"
,6051046,Asustek Computer Inc.,2357,0.09%,"Technology Hardware, Storage & Periphera",TW,---,"$77,353,486.77","8,791,937"
,BYSW6D0,MMC Norilsk Nickel PJSC,MNOD,0.09%,Diversified Metals & Mining,RU,ADR,"$77,317,682.62","3,205,119"
,6226576,PetroChina Co. Ltd.,857,0.09%,Integrated Oil & Gas,CN,---,"$77,186,819.50","262,293,227"
,6563206,MTN Group Ltd.,MTN,0.09%,Wireless Telecommunication Services,ZA,---,"$77,173,964.12","23,001,738"
,2857334,Vale SA,VALE,0.09%,Steel,BR,ADR,"$76,893,853.00","7,267,850"
,BFNLRN6,Bilibili Inc.,BILI,0.09%,Interactive Home Entertainment,CN,ADR,"$76,723,171.20","1,844,307"
,6243898,Commercial International Bank Egypt SAE,COMI,0.09%,Diversified Banks,EG,---,"$76,416,513.67","18,104,151"
,B08K3S0,Localiza Rent a Car SA,RENT3,0.09%,Trucking,BR,---,"$76,141,910.49","7,545,533"
,6984380,Yageo Corp.,2327,0.09%,Electronic Components,TW,---,"$75,716,536.43","6,166,169"
,B4TDF13,Chunghwa Telecom Co. Ltd.,CHT,0.09%,Integrated Telecommunication Services,TW,ADR,"$75,390,065.02","2,080,874"
,6412591,Advanced Info Service PCL,ADVANC-F,0.08%,Wireless Telecommunication Services,TH,---,"$74,472,307.18","13,746,606"
,BH5QGR0,Autohome Inc.,ATHM,0.08%,Interactive Media & Services,CN,ADR,"$74,329,440.00","774,265"
,BYY37Q7,Tatneft PJSC,ATAD,0.08%,Oil & Gas Exploration & Production,RU,ADR,"$74,031,031.05","2,070,524"
,B0166K8,Larsen & Toubro Ltd.,LT,0.08%,Construction & Engineering,IN,---,"$73,842,683.16","6,022,080"
,6100186,Mahindra & Mahindra Ltd.,M&M,0.08%,Automobile Manufacturers,IN,---,"$73,316,398.46","8,867,805"
,6109901,Wuliangye Yibin Co. Ltd.,000858,0.08%,Distillers & Vintners,CN,---,"$72,905,109.34","2,236,198"
,BD9GVY0,Zai Lab Ltd.,ZLAB,0.08%,Biotechnology,CN,ADR,"$72,457,787.17","871,201"
,BF4J7K6,Notre Dame Intermedica Participacoes SA,GNDI3,0.08%,Managed Health Care,BR,---,"$72,150,241.33","6,227,921"
